ID,SHOPCODEAPPROVERSID,SHOPCODEPRIMARYAPPROVER,SHOPCODESECONDARYAPPROVER,SHOPCODETHIRDAPPROVER,MPNID,COUNTRYID,ADDDATE,ADDBY,MODDATE,MODBY,PRIMARYAPPROVERLEAVE,PRIMARYAPPROVERLEAVEFROM,PRIMARYAPPROVERLEAVETO,KITAPPROVER,CAT
5580,6361,6130803,,,6561,,16-APR-13 07:33:01,1002771,,,,,,,B
5581,6362,6133942,6133942,,6778,,27-AUG-15 00:52:28,1002771,21-JUL-15 10:12:12,6136942,1,22-JUL-15 00:00:00,14-AUG-18 00:00:00,,B
5582,6364,6130803,,,6623,,16-APR-13 07:33:01,1002771,,,,,,,B
5583,6366,6133942,6133942,,6756,,27-AUG-15 00:52:29,1002771,21-JUL-15 10:12:12,6136942,1,22-JUL-15 00:00:00,14-AUG-18 00:00:00,,B
5584,6367,6130803,,,6544,,16-APR-13 07:33:01,1002771,,,,,,,B
5585,6368,6130803,,,6624,,16-APR-13 07:33:01,1002771,,,,,,,B
5586,6369,6130803,,,6622,,16-APR-13 07:33:01,1002771,,,,,,,B
5587,6372,3142369,,,6681,,18-JUN-15 00:24:10,1002771,14-OCT-13 18:27:11,1002771,,,,,B
5588,6373,303487800,6133942,,6685,,21-MAY-15 03:39:24,1002771,09-JUL-13 16:37:46,1002771,1,10-JUL-13 00:00:00,19-JUL-13 00:00:00,,B
5589,6374,303487800,6133942,,6658,,04-JAN-17 00:56:02,1002771,09-JUL-13 16:37:46,1002771,1,10-JUL-13 00:00:00,19-JUL-13 00:00:00,,B
5590,6377,302676119,,,6663,,07-JUL-15 04:49:56,1002771,13-AUG-14 18:10:08,1002771,,,,,B
5591,6378,302676119,,,6687,,07-JUL-15 04:49:55,1002771,13-AUG-14 18:10:08,1002771,,,,,B
5592,6380,302676119,,,6694,,07-JUL-15 04:49:56,1002771,13-AUG-14 18:10:08,1002771,,,,,B
5593,6381,303487800,6133942,,6657,,04-JAN-17 00:56:02,1002771,09-JUL-13 16:37:46,1002771,1,10-JUL-13 00:00:00,19-JUL-13 00:00:00,,B
5594,6383,3142369,,,6692,,18-JUN-15 00:24:11,1002771,14-OCT-13 18:27:11,1002771,,,,,B
5595,6384,303487800,6133942,,6672,,04-JAN-17 00:56:02,1002771,09-JUL-13 16:37:46,1002771,1,10-JUL-13 00:00:00,19-JUL-13 00:00:00,,B
5596,6385,478745852,230698036,,6677,,05-DEC-16 05:48:35,1002771,15-AUG-16 18:28:17,1002771,1,15-AUG-16 00:00:00,20-AUG-16 00:00:00,,B
5597,6386,3142369,,,6696,,18-JUN-15 00:24:11,1002771,14-OCT-13 18:27:11,1002771,,,,,B
5598,6387,3142369,,,6699,,18-JUN-15 00:24:09,1002771,14-OCT-13 18:27:11,1002771,,,,,B
5599,6388,303487800,6133942,,6662,,04-JAN-17 00:56:02,1002771,09-JUL-13 16:37:46,1002771,1,10-JUL-13 00:00:00,19-JUL-13 00:00:00,,B
5600,6389,303487800,6133942,,6667,,04-JAN-17 00:56:02,1002771,09-JUL-13 16:37:46,1002771,1,10-JUL-13 00:00:00,19-JUL-13 00:00:00,,B
5601,6390,303487800,6133942,,6693,,04-JAN-17 00:56:02,1002771,09-JUL-13 16:37:46,1002771,1,10-JUL-13 00:00:00,19-JUL-13 00:00:00,,B
5602,6391,303487800,6133942,,6665,,04-JAN-17 00:56:03,1002771,09-JUL-13 16:37:46,1002771,1,10-JUL-13 00:00:00,19-JUL-13 00:00:00,,B
5603,6393,302676119,,,6697,,07-JUL-15 04:49:57,1002771,13-AUG-14 18:10:08,1002771,,,,,B
5604,6394,303487800,6133942,,6703,,04-JAN-17 00:56:03,1002771,09-JUL-13 16:37:46,1002771,1,10-JUL-13 00:00:00,19-JUL-13 00:00:00,,B
5605,6396,314835420,314835420,,6659,,24-MAY-16 11:58:34,1002771,18-FEB-16 17:44:19,4023972,1,19-FEB-16 00:00:00,04-MAR-16 00:00:00,,B
5606,6398,6133942,6133942,,6678,,27-AUG-15 00:52:29,1002771,21-JUL-15 10:12:12,6136942,1,22-JUL-15 00:00:00,14-AUG-18 00:00:00,,B
5607,6400,6133942,6133942,,6689,,27-AUG-15 00:52:29,1002771,21-JUL-15 10:12:12,6136942,1,22-JUL-15 00:00:00,14-AUG-18 00:00:00,,B
5608,6403,303487800,6133942,,6664,,21-MAY-15 03:39:25,1002771,09-JUL-13 16:37:46,1002771,1,10-JUL-13 00:00:00,19-JUL-13 00:00:00,,B
5609,6406,6136942,6133942,,6700,,26-JUN-15 05:45:48,1002771,21-JUL-15 10:12:12,6136942,1,22-JUL-15 00:00:00,14-AUG-18 00:00:00,,B
5610,6407,3142369,,,6676,,18-JUN-15 00:24:10,1002771,14-OCT-13 18:27:11,1002771,,,,,B
5611,6408,303487800,6133942,,6668,,04-JAN-17 00:56:02,1002771,09-JUL-13 16:37:46,1002771,1,10-JUL-13 00:00:00,19-JUL-13 00:00:00,,B
5612,6412,303487800,6133942,,6732,,04-JAN-17 00:56:02,1002771,09-JUL-13 16:37:46,1002771,1,10-JUL-13 00:00:00,19-JUL-13 00:00:00,,B
5613,6415,478745852,230698036,,6739,,05-DEC-16 05:48:35,1002771,15-AUG-16 18:28:17,1002771,1,15-AUG-16 00:00:00,20-AUG-16 00:00:00,,B
5614,6416,302676119,,,6845,,07-JUL-15 04:49:56,1002771,13-AUG-14 18:10:08,1002771,,,,,B
5615,6417,302676119,,,6844,,07-JUL-15 04:49:57,1002771,13-AUG-14 18:10:08,1002771,,,,,B
5616,6419,303487800,6133942,,6803,,04-JAN-17 00:56:03,1002771,09-JUL-13 16:37:46,1002771,1,10-JUL-13 00:00:00,19-JUL-13 00:00:00,,B
5617,6420,303487800,6133942,,6789,,21-MAY-15 03:39:24,1002771,09-JUL-13 16:37:46,1002771,1,10-JUL-13 00:00:00,19-JUL-13 00:00:00,,B
5618,6423,6133942,6133942,,6728,,15-JAN-14 05:04:15,1002771,09-JUL-13 16:37:46,1002771,1,10-JUL-13 00:00:00,19-JUL-13 00:00:00,,B
5619,6424,303487800,6133942,,6796,,04-JAN-17 00:56:03,1002771,09-JUL-13 16:37:46,1002771,1,10-JUL-13 00:00:00,19-JUL-13 00:00:00,,B
5620,6426,478745852,230698036,,6772,,05-DEC-16 05:48:35,1002771,15-AUG-16 18:28:17,1002771,1,15-AUG-16 00:00:00,20-AUG-16 00:00:00,,B
5621,6427,478745852,230698036,,6774,,21-FEB-17 03:58:29,1002771,15-AUG-16 18:28:17,1002771,1,15-AUG-16 00:00:00,20-AUG-16 00:00:00,,B
5622,6428,478745852,230698036,,6835,,05-DEC-16 05:48:35,1002771,15-AUG-16 18:28:17,1002771,1,15-AUG-16 00:00:00,20-AUG-16 00:00:00,,B
5623,6429,6130803,,,6617,,16-APR-13 07:33:01,1002771,,,,,,,B
5624,6430,302676119,,,6793,,07-JUL-15 04:49:57,1002771,13-AUG-14 18:10:08,1002771,,,,,B
5625,6431,6130803,,,6582,,16-APR-13 07:33:02,1002771,,,,,,,B
5626,6432,6130803,,,6579,,16-APR-13 07:33:02,1002771,,,,,,,B
5627,6433,6130803,,,6567,,16-APR-13 07:33:02,1002771,,,,,,,B
5628,6434,6130803,,,6571,,16-APR-13 07:33:02,1002771,,,,,,,B
5629,6435,302676119,,,6621,,07-JUL-15 04:49:57,1002771,13-AUG-14 18:10:08,1002771,,,,,B
5630,6442,6136942,6133942,,6771,,26-JUN-15 05:45:47,1002771,21-JUL-15 10:12:12,6136942,1,22-JUL-15 00:00:00,14-AUG-18 00:00:00,,B
5631,6445,6133942,6133942,,6784,,27-AUG-15 00:52:29,1002771,21-JUL-15 10:12:12,6136942,1,22-JUL-15 00:00:00,14-AUG-18 00:00:00,,B
5632,6447,6133942,6133942,,6614,,27-AUG-15 00:52:28,1002771,21-JUL-15 10:12:12,6136942,1,22-JUL-15 00:00:00,14-AUG-18 00:00:00,,B
5633,6449,6130803,,,6585,,16-APR-13 07:33:02,1002771,,,,,,,B
5634,6451,6133942,6133942,,6781,,27-AUG-15 00:52:29,1002771,21-JUL-15 10:12:12,6136942,1,22-JUL-15 00:00:00,14-AUG-18 00:00:00,,B
5635,6452,6130803,,,6643,,16-APR-13 07:33:02,1002771,,,,,,,B
5636,6453,6133942,,,6766,,28-JUL-16 02:24:58,1002771,,,,,,,B
5637,6454,6130803,,,6795,,16-APR-13 07:33:02,1002771,,,,,,,B
5638,6455,6133942,,,6611,,28-JUL-16 02:24:58,1002771,,,,,,,B
5639,6457,6133942,,,6661,,28-JUL-16 02:24:58,1002771,,,,,,,B
5640,6458,6130803,,,6800,,16-APR-13 07:33:02,1002771,,,,,,,B
5641,6459,6133942,,,6615,,30-JAN-17 00:03:43,1002771,,,,,,,B
5642,6460,6130803,,,6806,,16-APR-13 07:33:02,1002771,,,,,,,B
5643,6461,6130803,,,6805,,16-APR-13 07:33:02,1002771,,,,,,,B
5644,6462,303487800,6133942,,6847,,21-MAY-15 03:39:23,1002771,09-JUL-13 16:37:46,1002771,1,10-JUL-13 00:00:00,19-JUL-13 00:00:00,,B
5645,6466,6130803,,,6799,,16-APR-13 07:33:02,1002771,,,,,,,B
5646,6467,6130803,,,6619,,16-APR-13 07:33:02,1002771,,,,,,,B
5647,6468,6133942,,,6706,,30-JAN-17 00:03:44,1002771,,,,,,,B
